fips,3rd Party Effect direction
12013,-0.02
12015,-0.19
12017,-0.18
12019,-0.31
12021,-0.33
12023,-0.2
12027,-0.06
12029,-0.05
12031,-0.15
12033,-0.24
12035,-0.15
12037,0.03
12039,0.05
12041,-0.16
12043,-0.06
12045,-0.15
12047,0.03
12049,-0.2
12051,-0.14
12053,-0.13
12055,-0.24
12057,-0.14
12059,-0.2
12061,-0.26
12063,-0.06
12065,-0.02
12067,0.01
12069,-0.23
12071,-0.25
12073,0
12075,-0.13
12077,0.19
12079,-0.01
12081,-0.21
12083,-0.17
12085,-0.25
12086,-0.26
12087,-0.05
12089,-0.28
12091,-0.35
12093,-0.12
12095,-0.11
12097,-0.08
12099,-0.07
12101,-0.16
12103,-0.1
12105,-0.2
12107,-0.05
12109,-0.28
12111,-0.07
12113,-0.34
12115,-0.18
12117,-0.2
12119,-0.27
12121,-0.13
12123,-0.02
12125,-0.07
12127,-0.11
12129,-0.1
12131,-0.29
12133,-0.22
13001,-0.44
13003,-0.22
13005,-0.38
13007,-0.15
13009,-0.2
13011,-0.42
13013,-0.42
13015,-0.37
13017,-0.22
13019,-0.33
13021,-0.21
13023,-0.42
13025,-0.4
13027,-0.25
13029,-0.41
13031,-0.34
13033,-0.27
13035,-0.35
13037,-0.16
13039,-0.3
13043,-0.33
13045,-0.36
13047,-0.42
13049,-0.34
13051,-0.21
13053,-0.19
13055,-0.3
13057,-0.46
13059,0.02
13061,-0.17
13063,0.03
13065,-0.34
13067,-0.31
13069,-0.29
13071,-0.36
13073,-0.44
13075,-0.27
13077,-0.41
13079,-0.3
13081,-0.3
13083,-0.43
13085,-0.45
13087,-0.26
13089,0
13091,-0.34
13093,-0.19
13095,-0.12
13097,-0.21
13099,-0.24
13101,-0.28
13103,-0.45
13105,-0.33
13107,-0.34
13109,-0.4
13111,-0.34
13113,-0.39
13115,-0.37
13117,-0.47
13119,-0.43
13121,-0.14
13123,-0.36
13125,-0.34
13127,-0.34
13129,-0.36
13131,-0.34
13133,-0.4
13135,-0.3
13137,-0.44
13139,-0.46
13141,-0.02
13143,-0.39
13145,-0.44
13147,-0.39
13149,-0.32
13151,-0.25
13153,-0.36
13155,-0.29
13157,-0.44
13159,-0.35
13161,-0.39
13163,-0.2
13165,-0.28
13167,-0.3
13169,-0.3
13171,-0.35
13173,-0.26
13175,-0.35
13177,-0.34
13179,-0.13
13181,-0.36
13183,-0.25
13185,-0.27
13187,-0.41
13189,-0.35
13191,-0.24
13193,-0.15
13195,-0.37
13197,-0.19
13199,-0.28
13201,-0.28
13205,-0.21
13207,-0.42
13209,-0.36
13211,-0.41
13213,-0.3
13215,-0.21
13217,-0.23
13219,-0.45
13221,-0.32
13223,-0.39
13225,-0.27
13227,-0.41
13229,-0.51
13231,-0.45
13233,-0.3
13235,-0.33
13237,-0.35
13239,-0.21
13241,-0.37
13243,-0.14
13245,-0.17
13247,-0.16
13249,-0.43
13251,-0.28
13253,-0.28
13255,-0.34
13257,-0.43
13259,-0.13
13261,-0.22
13263,-0.12
13265,-0.12
13267,-0.4
13269,-0.27
13271,-0.28
13273,-0.19
13275,-0.36
13277,-0.36
13279,-0.44
13281,-0.37
13283,-0.26
13285,-0.32
13287,-0.26
13289,-0.18
13291,-0.4
13293,-0.31
13295,-0.41
13297,-0.45
13299,-0.39
13301,-0.24
13303,-0.23
13305,-0.39
13307,-0.28
13309,-0.32
13311,-0.4
13313,-0.35
13315,-0.3
13317,-0.26
13319,-0.22
13321,-0.31
15001,0.5
15003,0.23
15007,0.44
15009,0.52
16001,-0.45
16003,-0.46
16005,-0.56
16007,-0.71
16009,-0.59
16011,-0.77
16013,-0.19
16015,-0.47
16017,-0.47
16019,-0.74
16021,-0.46
16023,-0.69
16025,-0.48
16027,-0.58
16029,-0.75
16031,-0.73
16033,-0.7
16035,-0.46
16037,-0.51
16039,-0.45
16041,-0.78
16043,-0.8
16045,-0.53
16047,-0.59
16051,-0.81
16053,-0.6
16055,-0.58
16057,-0.23
16059,-0.54
16061,-0.52
16063,-0.56
16065,-0.86
16067,-0.65
16069,-0.46
16071,-0.8
16073,-0.52
16075,-0.55
16077,-0.68
16079,-0.47
16081,-0.32
16083,-0.6
16085,-0.39
16087,-0.54
17001,-0.36
17003,0.11
17005,-0.15
17007,-0.2
17009,-0.24
17011,-0.15
17013,0.1
17015,-0.3
17017,-0.12
17019,0.05
