fips,WinMargin
21059,-37.56%
29061,45.34%
19051,27.80%
49011,71.22%
46035,9.37%
31045,73.53%
13085,81.78%
30021,62.61%
31047,91.12%
48115,88.17%
46037,-22.83%
01049,73.48%
13089,-45.07%
17037,3.76%
18033,56.15%
29063,52.24%
47041,45.05%
12027,17.19%
28033,55.61%
48117,73.73%
18029,58.56%
13087,30.44%
19053,25.51%
18031,61.61%
47039,54.47%
30023,-35.66%
39039,47.23%
06015,-12.24%
19055,5.55%
18035,7.77%
36025,24.87%
39041,51.32%
40041,17.59%
42045,2.51%
08029,-100.00%
26041,19.93%
48119,76.68%
29065,60.90%
48121,48.76%
08031,-100.00%
19057,3.92%
41017,-4.82%
05041,-61.50%
31049,97.08%
46039,-2.44%
40043,35.10%
46041,-38.54%
48125,91.49%
51051,44.81%
19059,26.42%
26043,35.46%
47043,47.34%
45033,16.76%
48127,-91.80%
51053,9.14%
12029,32.11%
31051,86.29%
54017,61.28%
13091,57.40%
31053,81.35%
55027,28.89%
08033,-100.00%
48129,84.06%
13093,11.25%
55029,6.49%
24019,15.21%
45035,38.52%
13095,-23.07%
08035,-100.00%
13097,12.45%
17041,55.56%
29067,64.66%
31055,49.62%
32005,93.41%
41019,22.58%
46043,65.79%
53017,95.37%
55031,-10.83%
05043,10.11%
17043,5.82%
18037,25.93%
19061,-9.38%
49013,86.81%
31057,90.68%
29069,45.26%
55033,4.34%
37061,2.00%
37063,-58.90%
36027,-8.00%
12031,11.73%
48131,-91.50%
47045,63.10%
08037,-100.00%
13099,27.93%
48133,85.66%
26045,8.60%
55035,-9.67%
13101,73.80%
48135,68.75%
35015,16.79%
17045,58.77%
37065,-54.66%
45037,38.60%
21061,29.30%
46045,26.47%
17047,72.47%
48137,77.38%
13103,67.14%
17049,57.11%
06017,3.56%
08041,-100.00%
48141,-31.25%
08039,-100.00%
13105,47.58%
42047,7.29%
18039,47.71%
32007,92.94%
21063,-90.04%
40045,53.29%
48139,65.22%
01051,64.85%
16039,84.28%
13107,53.02%
49015,76.88%
19063,14.65%
26047,20.84%
48143,79.00%
36029,-26.97%
39043,12.26%
42049,-11.74%
01053,42.64%
12033,29.60%
32009,53.68%
25009,-10.67%
34013,-75.00%
36031,15.33%
51057,19.52%
50009,-34.16%
21065,-19.25%
01055,53.68%
32011,79.63%
13109,48.33%
51600,-1.60%
51059,-3.11%
09001,-5.50%
39045,46.42%
45039,-18.23%
46047,43.63%
30025,88.00%
48145,56.40%
13111,72.16%
48147,75.42%
46049,28.54%
05045,45.47%
51061,43.95%
01057,71.17%
13113,41.08%
19065,0.35%
17051,51.22%
18041,32.06%
21067,-43.36%
39047,58.80%
42051,-12.92%
47047,50.34%
48149,74.42%
54019,-32.29%
47049,68.11%
30027,51.89%
53019,95.88%
31059,84.75%
48151,19.48%
12035,28.65%
30029,28.88%
21069,-30.81%
45041,20.34%
55037,43.41%
13115,56.10%
19067,-2.50%
18043,19.85%
21071,-83.71%
48153,87.59%
51063,28.77%
51065,21.25%
48155,-72.97%
55039,27.51%
17053,63.51%
42053,31.94%
55041,20.66%
28035,31.20%
13117,71.84%
37067,-0.88%
48157,26.47%
18045,66.03%
51620,-10.72%
01059,34.47%
05047,53.81%
12037,-4.58%
13119,77.05%
19069,22.42%
16041,94.69%
17055,7.45%
18047,62.81%
21073,-67.84%
25011,-10.44%
23007,-100.00%
