fips,WinMargin,,
29107,0.16,,
29109,0.23,,
29111,0.28,,
29113,0.21,,
29115,0.18,,
29117,0.24,,
29119,0.29,,
29121,0.26,,
29123,0.22,,
29125,0.27,,
29127,0.17,,
29129,0.45,,
29131,0.35,,
29133,0.19,,
29135,0.22,,
29137,0.22,,
29139,0.29,,
29141,0.30,,
29143,0.20,,
29145,0.21,,
29147,0.14,,
29149,0.26,,
29151,0.29,,
29153,0.34,,
29155,0.20,,
29157,0.25,,
29159,0.21,,
29161,0.22,,
29163,0.15,,
29165,0.03,,
29167,0.19,,
29169,0.27,,
29171,0.38,,
29173,0.20,,
29175,0.23,,
29177,0.12,,
29179,0.27,,
29181,0.31,,
29183,0.11,,
29185,0.24,,
29186,0.06,,
29187,0.17,,
29195,0.11,,
29197,0.32,,
29199,0.28,,
29201,0.27,,
29203,0.24,,
29205,0.19,,
29207,0.34,,
29209,0.32,,
29211,0.27,,
29213,0.30,,
29215,0.33,,
29217,0.26,,
29219,0.22,,
29221,0.20,,
29223,0.31,,
29225,0.21,,
29227,0.28,,
29229,0.31,,
29510,-0.39,,
30001,0.53,,
30003,0.24,,
30005,0.15,,
30007,0.50,,
30009,0.29,,
30011,0.67,,
30013,0.18,,
30015,0.39,,
30017,0.37,,
30019,0.53,,
30021,0.59,,
30023,-0.10,,
30025,0.76,,
30027,0.49,,
30029,0.39,,
30031,0.09,,
30033,0.80,,
30035,-0.20,,
30037,0.59,,
30039,0.37,,
30041,0.14,,
30043,0.26,,
30045,0.53,,
30047,0.25,,
30049,0.04,,
30051,0.50,,
30053,0.48,,
30055,0.59,,
30057,0.45,,
30059,0.58,,
30061,0.41,,
30063,-0.02,,
30065,0.67,,
30067,0.21,,
30069,0.70,,
30071,0.72,,
30073,0.42,,
30075,0.74,,
30077,0.43,,
30079,0.54,,
30081,0.37,,
30083,0.59,,
30085,0.26,,
30087,0.42,,
30089,0.48,,
30091,0.36,,
30093,-0.13,,
30095,0.53,,
30097,0.54,,
30099,0.27,,
30101,0.58,,
30103,0.45,,
30105,0.41,,
30107,0.61,,
30109,0.59,,
30111,0.27,,
31001,0.59,,
31003,0.66,,
31005,0.60,,
31007,0.63,,
31009,0.71,,
31011,0.63,,
31013,0.66,,
31015,0.68,,
31017,0.81,,
31019,0.59,,
31021,0.61,,
31023,0.64,,
31025,0.55,,
31027,0.57,,
31029,0.72,,
31031,0.70,,
31033,0.70,,
31035,0.69,,
31037,0.65,,
31039,0.64,,
31041,0.68,,
31043,0.58,,
31045,0.55,,
31047,0.68,,
31049,0.80,,
31051,0.54,,
31053,0.61,,
31055,0.40,,
31057,0.64,,
31059,0.61,,
31061,0.72,,
31063,0.72,,
31065,0.72,,
31067,0.45,,
31069,0.76,,
31071,0.74,,
31073,0.67,,
31075,0.76,,
31077,0.49,,
31079,0.58,,
31081,0.56,,
31083,0.62,,
31085,0.63,,
31087,0.75,,
31089,0.72,,
31091,0.73,,
31093,0.60,,
31095,0.57,,
31097,0.58,,
31099,0.64,,
31101,0.70,,
31103,0.77,,
31105,0.74,,
31107,0.63,,
31109,0.26,,
31111,0.63,,
31113,0.68,,
31115,0.65,,
31117,0.66,,
31119,0.58,,
31121,0.58,,
31123,0.72,,
31125,0.68,,
31127,0.55,,
31129,0.70,,
31131,0.56,,
31133,0.54,,
31135,0.59,,
31137,0.62,,
31139,0.68,,
31141,0.64,,
31143,0.54,,
31145,0.72,,
31147,0.64,,
31149,0.72,,
31151,0.44,,
31153,0.50,,
31155,0.58,,
31157,0.58,,
31159,0.46,,
31161,0.78,,
31163,0.64,,
31165,0.56,,
31167,0.55,,
31169,0.57,,
31171,0.79,,
31173,0.56,,
31175,0.64,,
31177,0.62,,
31179,0.54,,
31181,0.70,,
31183,0.63,,
31185,0.59,,
32001,0.34,,
32003,0.31,,
32005,0.34,,
32007,0.23,,
32009,0.41,,
32011,0.36,,
32013,0.36,,
32015,0.30,,
32017,0.13,,
32019,0.43,,
32021,0.22,,
32023,0.47,,
32027,0.24,,
32029,0.30,,
32031,0.35,,
32033,0.24,,
32510,0.38,,
33001,0.08,,
33003,0.05,,
33005,-0.02,,
33007,0.02,,
33009,-0.05,,
33011,0.01,,
33013,-0.02,,
33015,0.05,,
33017,-0.03,,
33019,0.04,,
34001,0.03,,
34003,-0.16,,
34005,-0.15,,
34007,-0.35,,
34009,0.25,,
34011,-0.12,,
34013,-0.54,,
34015,-0.13,,
34017,-0.52,,
34019,0.26,,
34021,-0.37,,
34023,-0.26,,
34025,0.05,,
34027,0.15,,
34029,0.29,,
34031,-0.20,,
34033,0.02,,
34035,-0.05,,
34037,0.38,,
34039,-0.38,,
34041,0.35,,
35001,-0.15,,
35003,0.44,,
35005,0.36,,
35006,-0.23,,
35007,-0.16,,
35009,0.42,,
35015,0.26,,
35017,-0.17,,
35019,-0.40,,
35021,0.12,,
